Date,Time,CWD_Crse,Nel_Crse,CWD_Spd,Nel_Spd,Range,Bearing,Bearing Rate,Relative Bearing,ATB
12/Dec/1995,07:45:00,229.7,70.3,6.4201809762,12.2529732845,10239.5370286438,295.414522622,-2.1263273629,-139.8142764902,-127.6208379521
12/Dec/1995,07:46:00,229.9,69.9,6.3649932121,12.3156688435,10670.8755887585,293.0201173843,-1.9387186115,-142.0529936326,-129.3546880333
12/Dec/1995,07:47:00,230.6,70.2,6.4204253077,12.1900899476,11119.4004000578,290.8219476579,-1.8052959671,-143.729499221,-130.8907679982
12/Dec/1995,07:48:00,229.9,70.2,6.4677476373,12.2009359198,11575.5768352293,288.7824831994,-1.6632816497,-146.7036887791,-133.5116524331
12/Dec/1995,07:49:00,229.9,70,6.3520945369,12.3297352409,12047.8888717354,286.9228599288,-1.5215377299,-148.0475366922,-134.2596741524
12/Dec/1995,07:50:00,230.5,69.5,6.4519381064,12.2629319939,12520.6534920115,285.1895762072,-1.4109955641,-149.9481528065,-135.8605541186
12/Dec/1995,07:51:00,230.4,70.6,6.4466404506,12.3588487338,13006.1663283876,283.592334409,-1.3228706952,-151.6157449717,-137.6071256317
12/Dec/1995,07:52:00,229.8,69.9,6.4362813699,12.2204655701,13495.2476723974,282.1290396273,-1.2388684364,-153.4380936503,-138.4051670935
12/Dec/1995,07:53:00,230.2,70.1,6.4388082626,12.2770542605,13989.8951176073,280.7714671579,-1.1535903982,-153.9045520125,-140.0327930309
12/Dec/1995,07:54:00,230.4,70.3,6.4679356392,12.2220367821,14493.6510593119,279.4972580036,-1.0423038353,-155.0327345321,-141.5122110964
12/Dec/1995,07:55:00,230.2,70.7,6.4678259554,12.2594086691,15001.3797908684,278.3028774382,-0.7061277614,-156.1961654242,-141.8939355619
12/Dec/1995,07:56:00,230.3,69.6,6.4257598879,12.3477820764,15518.605033963,277.19003007,-0.0726473152,-158.257123991,-142.8672549789
12/Dec/1995,07:57:00,230.2,69.4,6.4442922837,12.1779967286,15993.3409009159,276.1835980941,-0.0431918088,-170.2697376236,-142.5161595976
12/Dec/1995,07:58:00,229.7,69.4,6.4127017853,11.8005648681,16475.6749625935,275.5014130225,-0.0487732657,-180,-142.6975113352
12/Dec/1995,07:59:00,230.1,70.5,6.4758227325,10.7537252564,16972.7572875632,275.4309294334,-0.0311070472,180,-142.7799638945
12/Dec/1995,08:00:00,231,85.1,6.4206369374,11.0861447966,17472.5698952038,275.3889899107,-0.0182429925,162.4540301148,-142.8191890179
12/Dec/1995,08:01:00,230.9,120,6.4575834366,11.5222103759,17979.3217857346,275.3416373507,-0.0398247941,161.4260714966,-142.6225955668
12/Dec/1995,08:02:00,230.4,121.2,6.4443422326,11.6100111992,18482.2649966943,275.3114006873,-0.11271693,162.6700723655,-143.0066374574
